Image,Width,Height,Pixels,Time_ms,Orig_Size,Comp_Size,Reduction,Pixel_Diff_Min,Pixel_Diff_Max,Changed_Pixels,PSNR,Num_Processes
./images\image1.jpg,200,200,40000,757.057,120000,17317,85.5692,1,5,75073,53.0475,1
./images\image2.jpg,224,224,50176,872.936,150528,15519,89.6903,1,1,24162,60.8469,1
./images\image3.jpg,248,248,61504,1235.52,184512,33277,81.9649,1,7,92937,54.1106,1
./images\image4.jpg,272,272,73984,1549.2,221952,48058,78.3476,1,7,122900,53.7938,1
./images\image5.jpg,296,296,87616,1573.04,262848,32883,87.4897,1,4,139108,55.4011,1
./images\image6.jpg,320,320,102400,1957.28,307200,49282,83.9577,1,5,162661,54.4893,1
./images\image7.jpg,344,344,118336,2330.83,355008,61002,82.8167,1,10,192675,53.9804,1
./images\image8.jpg,368,368,135424,2870.44,406272,76188,81.247,1,6,207711,54.881,1
./images\image9.jpg,392,392,153664,3007.97,460992,78873,82.8906,1,5,227101,54.5044,1
./images\image10.jpg,416,416,173056,3002.92,519168,55026,89.4011,1,9,313713,54.7475,1
./images\image11.jpg,440,440,193600,3456.57,580800,65439,88.733,1,10,523527,52.7894,1
./images\image12.jpg,464,464,215296,3906.4,645888,78396,87.8623,1,5,294959,55.3533,1
./images\image13.jpg,488,488,238144,4511.77,714432,102902,85.5967,1,4,481817,53.745,1
./images\image14.jpg,512,512,262144,5491.54,786432,165016,79.0171,1,8,384908,55.0354,1
./images\image15.jpg,536,536,287296,5570.52,861888,137707,84.0226,1,6,590194,53.8187,1
./images\image16.jpg,560,560,313600,6056.97,940800,151461,83.9008,1,5,548984,54.5172,1
./images\image17.jpg,584,584,341056,6629.13,1023168,164088,83.9628,1,4,547314,55.4166,1
./images\image18.jpg,608,608,369664,8462.74,1108992,286683,74.1492,1,6,606743,53.7704,1
./images\image19.jpg,632,632,399424,8198.43,1198272,231631,80.6696,1,12,638527,53.9366,1
./images\image20.jpg,656,656,430336,7934.19,1291008,166379,87.1125,1,13,613647,55.4484,1
./images\image21.jpg,680,680,462400,9030.82,1387200,215120,84.4925,1,7,853543,55.0574,1
./images\image22.jpg,704,704,495616,10550.4,1486848,321286,78.3915,1,12,795247,53.9591,1
./images\image23.jpg,728,728,529984,9938.92,1589952,223396,85.9495,1,13,849068,55.0586,1
./images\image24.jpg,752,752,565504,10784,1696512,255275,84.953,1,5,876605,54.8374,1
./images\image25.jpg,776,776,602176,13388.7,1806528,402380,77.7263,1,12,912963,54.606,1
./images\image26.jpg,800,800,640000,14591.2,1920000,498688,74.0267,1,16,1062077,52.8436,1
./images\image27.jpg,824,824,678976,12894.8,2036928,286891,85.9155,1,9,839703,54.3015,1
./images\image28.jpg,848,848,719104,15013.9,2157312,423952,80.3481,1,7,1117779,54.7825,1
./images\image29.jpg,872,872,760384,17438.8,2281152,578645,74.6337,1,9,1193137,54.7341,1
./images\image30.jpg,896,896,802816,18310.6,2408448,604312,74.9087,1,9,1296837,54.58,1
./images\image31.jpg,920,920,846400,17105.8,2539200,450464,82.2596,1,9,1285672,55.1027,1
./images\image32.jpg,944,944,891136,18095,2673408,488216,81.7381,1,7,1346129,55.2919,1
./images\image33.jpg,968,968,937024,23809.3,2811072,947854,66.2814,1,11,1525653,53.7458,1
./images\image34.jpg,992,992,984064,21209.9,2952192,664244,77.5,1,10,1460236,55.1219,1
./images\image35.jpg,1016,1016,1032256,24758.5,3096768,859279,72.2524,1,6,1652580,54.3375,1
./images\image36.jpg,1040,1040,1081600,22556.8,3244800,628971,80.616,1,10,1703270,54.3478,1
./images\image37.jpg,1064,1064,1132096,23366.6,3396288,653867,80.7476,1,9,1739909,54.8305,1
./images\image38.jpg,1088,1088,1183744,26776.1,3551232,943622,73.4283,1,14,1961261,53.6615,1
./images\image39.jpg,1112,1112,1236544,35636.9,3709632,1557977,58.0018,1,14,2105583,53.0142,1
./images\image40.jpg,1136,1136,1290496,28795.4,3871488,962008,75.1515,1,10,2132751,53.611,1
./images\image41.jpg,1160,1160,1345600,28248,4036800,835441,79.3044,1,8,2150316,53.9777,1
./images\image42.jpg,1184,1184,1401856,30556.8,4205568,944849,77.5334,1,12,2232195,54.2138,1
./images\image43.jpg,1208,1208,1459264,28399.7,4377792,696594,84.088,1,13,2118666,54.9299,1
./images\image44.jpg,1232,1232,1517824,28867.3,4553472,647245,85.7857,1,4,2304123,55.5099,1
./images\image45.jpg,1256,1256,1577536,31771,4732608,817844,82.719,1,8,2426611,55.0244,1
./images\image46.jpg,1280,1280,1638400,34752.4,4915200,1027787,79.0896,1,7,2581264,54.745,1
./images\image47.jpg,1304,1304,1700416,37215.6,5101248,1185370,76.7631,1,12,2717809,54.4153,1
./images\image48.jpg,1328,1328,1763584,36926.7,5290752,1076342,79.6562,1,8,2780474,54.6982,1
./images\image49.jpg,1352,1352,1827904,46414.1,5483712,1745828,68.1634,1,7,2613987,55.6436,1
./images\image50.jpg,1376,1376,1893376,45108.4,5680128,1570227,72.3558,1,5,2979630,54.8074,1
