Image,Width,Height,Pixels,Time_ms,Orig_Size,Compact_Size,Reduction,Pixel_Diff_Min,Pixel_Diff_Max,Changed_Pixels,PSNR
"./images\image1.jpg",200,200,40000,345.1,120000,33032,72.5,1,5,37749,49.60
"./images\image2.jpg",224,224,50176,407.8,150528,29382,80.5,1,1,8054,56.08
"./images\image3.jpg",248,248,61504,535.0,184512,49689,73.1,1,7,47215,50.11
"./images\image4.jpg",272,272,73984,674.8,221952,67309,69.7,1,7,57996,49.67
"./images\image5.jpg",296,296,87616,725.2,262848,44860,82.9,1,4,62476,50.61
"./images\image6.jpg",320,320,102400,881.2,307200,66649,78.3,1,5,76768,50.04
"./images\image7.jpg",344,344,118336,1077.7,355008,80878,77.2,1,10,100560,49.67
"./images\image8.jpg",368,368,135424,1205.4,406272,97797,75.9,1,6,95966,50.48
"./images\image9.jpg",392,392,153664,1349.2,460992,92513,79.9,1,5,125059,50.52
"./images\image10.jpg",416,416,173056,1425.0,519168,72423,86.1,1,9,111750,49.94
"./images\image11.jpg",440,440,193600,1655.5,580800,90573,84.4,1,10,189050,48.26
"./images\image12.jpg",464,464,215296,1792.2,645888,99586,84.6,1,5,131662,50.95
"./images\image13.jpg",488,488,238144,2052.1,714432,131267,81.6,1,4,200817,49.33
"./images\image14.jpg",512,512,262144,2485.6,786432,193346,75.4,1,8,190556,50.51
"./images\image15.jpg",536,536,287296,2595.6,861888,168608,80.4,1,6,237919,49.35
"./images\image16.jpg",560,560,313600,2775.8,940800,182607,80.6,1,5,227943,50.01
"./images\image17.jpg",584,584,341056,3027.6,1023168,191118,81.3,1,4,236529,50.61
"./images\image18.jpg",608,608,369664,3472.4,1108992,317143,71.4,1,6,318408,49.60
"./images\image19.jpg",632,632,399424,3469.1,1198272,261454,78.2,1,12,338720,49.73
"./images\image20.jpg",656,656,430336,3547.2,1291008,195113,84.9,1,13,290643,50.88
"./images\image21.jpg",680,680,462400,3897.4,1387200,249739,82.0,1,7,341631,50.17
"./images\image22.jpg",704,704,495616,4428.8,1486848,343240,76.9,1,12,383419,49.79
"./images\image23.jpg",728,728,529984,4350.3,1589952,247018,84.5,1,13,300189,50.42
"./images\image24.jpg",752,752,565504,4749.5,1696512,280559,83.5,1,5,443658,50.38
"./images\image25.jpg",776,776,602176,5538.8,1806528,428547,76.3,1,12,493340,50.06
"./images\image26.jpg",800,800,640000,6104.9,1920000,533641,72.2,1,16,560519,49.18
"./images\image27.jpg",824,824,678976,5542.5,2036928,316173,84.5,1,9,476918,50.49
"./images\image28.jpg",848,848,719104,6350.3,2157312,452736,79.0,1,7,551503,50.32
"./images\image29.jpg",872,872,760384,7198.5,2281152,611614,73.2,1,9,563209,50.27
"./images\image30.jpg",896,896,802816,7571.4,2408448,638806,73.5,1,9,604811,50.27
"./images\image31.jpg",920,920,846400,7345.5,2539200,482879,81.0,1,9,600191,50.63
"./images\image32.jpg",944,944,891136,7749.0,2673408,522689,80.4,1,7,687655,50.66
"./images\image33.jpg",968,968,937024,9369.6,2811072,978667,65.2,1,11,796852,49.68
"./images\image34.jpg",992,992,984064,9158.7,2952192,694636,76.5,1,10,713063,50.55
"./images\image35.jpg",1016,1016,1032256,10164.4,3096768,890705,71.2,1,6,808584,50.12
"./images\image36.jpg",1040,1040,1081600,9422.7,3244800,663737,79.5,1,10,803279,50.10
"./images\image37.jpg",1064,1064,1132096,9905.5,3396288,686073,79.8,1,9,813863,50.46
"./images\image38.jpg",1088,1088,1183744,11106.8,3551232,973429,72.6,1,14,1000950,49.27
"./images\image39.jpg",1112,1112,1236544,13861.1,3709632,1592696,57.1,1,14,1088464,48.71
"./images\image40.jpg",1136,1136,1290496,11859.0,3871488,995487,74.3,1,10,1082413,49.28
"./images\image41.jpg",1160,1160,1345600,11973.4,4036800,869871,78.5,1,8,1154510,49.53
"./images\image42.jpg",1184,1184,1401856,12700.3,4205568,979006,76.7,1,12,1189161,49.68
"./images\image43.jpg",1208,1208,1459264,12424.6,4377792,728091,83.4,1,13,1191100,50.31
"./images\image44.jpg",1232,1232,1517824,12646.5,4553472,671583,85.3,1,4,1036520,50.88
"./images\image45.jpg",1256,1256,1577536,13779.2,4732608,850532,82.0,1,8,1178262,50.51
"./images\image46.jpg",1280,1280,1638400,14659.0,4915200,1061964,78.4,1,7,1246558,50.34
"./images\image47.jpg",1304,1304,1700416,15470.1,5101248,1212028,76.2,1,12,1228871,49.99
"./images\image48.jpg",1328,1328,1763584,15716.5,5290752,1109401,79.0,1,8,1350139,50.28
"./images\image49.jpg",1352,1352,1827904,19356.6,5483712,1767615,67.8,1,7,1340788,50.81
"./images\image50.jpg",1376,1376,1893376,18950.6,5680128,1604647,71.7,1,5,1412415,50.46
